No,시도,구군,삶의_만족도,건강,안전,환경,경제,교육,관계_및_사회참여,여가
125,충청북도,충주시,0.5397,0.3098,0.3199,0.4217,0.51,0.8624,0.2071,0.4627
126,충청북도,제천시,0.1741,0.3005,0.3987,0.642,0.4617,0.6123,0.4601,0.5708
127,충청북도,청주시,0.2927,0.4418,0.4489,0.2652,0.5417,0.8351,0.3781,0.3968
128,충청북도,보은군,0.7442,0.4248,0.6734,0.5971,0.3346,0.391,0.3907,0.7833
129,충청북도,옥천군,0.2521,0.6798,0.7188,0.6766,0.3992,0.6201,0.6194,0.7636
130,충청북도,영동군,0.6728,0.5451,0.656,0.721,0.2216,0.5048,0.3546,0.8419
131,충청북도,진천군,0.1609,0.2458,0.6791,0.2333,0.8134,0.1948,0.3338,0.7543
132,충청북도,괴산군,0.7749,0.4389,0.7031,0.4692,0.2711,0.6809,0.1679,0.7425
133,충청북도,음성군,0.2534,0.3402,0.5607,0.3132,0.8167,0.7805,0.346,0.9285
134,충청북도,단양군,0.137,0.447,0.6013,0.3703,0.5127,0.679,0.3599,0.5742
135,충청북도,증평군,0.5093,0.238,0.5448,0.4169,0.4496,0.3556,0.483,0.9132
136,충청남도,천안시,0.3811,0.5588,0.511,0.2853,0.607,0.7677,0.461,0.4255
137,충청남도,공주시,0.7134,0.589,0.3693,0.6178,0.3255,0.9708,0.3977,0.652
138,충청남도,보령시,0.6059,0.1333,0.2568,0.4541,0.2914,0.6917,0.1416,0.6714
139,충청남도,아산시,0.4038,0.3894,0.1211,0.215,0.6999,0.7662,0.5856,0.6699
140,충청남도,서산시,0.3056,0.1287,0.3472,0.4232,0.5949,0.4736,0.4061,0.6266
141,충청남도,논산시,0.6694,0.6328,0.3316,0.6138,0.2452,0.6768,0.3563,0.555
142,충청남도,계룡시,0.9917,0.4171,0.3911,0.9096,0.3867,0.8135,1.0,0.5015
143,충청남도,당진시,0.3596,0.0066,0.1738,0.2107,0.665,0.3652,0.4928,0.4082
144,충청남도,금산군,0.4792,0.4979,0.8158,0.7413,0.454,0.7188,0.3199,0.8612
145,충청남도,부여군,0.4139,0.4912,0.5057,0.7339,0.0922,0.4818,0.6508,0.7826
146,충청남도,서천군,0.9854,0.312,0.6447,0.5758,0.2688,0.6138,0.6825,0.7615
